,SUBID_A,SUBID_B
0,9500088,9000991
1,9500088,9000992
2,9500098,9001249
3,9500131,9001249
4,9535200,9001249
5,9535229,9001249
6,9535266,9001249
7,9535278,9001249
8,9535280,9001249
9,9535640,9001249
10,9500098,9001250
11,9500131,9001250
12,9535200,9001250
13,9535229,9001250
14,9535266,9001250
15,9535280,9001250
16,9535640,9001250
17,9500042,9500024
18,9500088,9500024
19,9538528,9500024
20,9538683,9500024
21,9538720,9500024
22,9539109,9500024
23,9539147,9500024
24,9539314,9500024
25,9500098,9500119
26,9500131,9500119
27,9535200,9500119
28,9535229,9500119
29,9535266,9500119
30,9535280,9500119
31,9535640,9500119
32,9500137,9500132
33,9500145,9500132
34,9521760,9500132
35,9521943,9500132
36,9522258,9500132
37,9556306,9500132
38,9556308,9500132
39,9556397,9500132
40,9556413,9500132
41,9556479,9500132
42,9556740,9500132
43,9500137,9500177
44,9500145,9500177
45,9500179,9500177
46,9500191,9500177
47,9500212,9500177
48,9500466,9500177
49,9500470,9500177
50,9500704,9500177
51,9500872,9500177
52,9500877,9500177
53,9500902,9500177
54,9500904,9500177
55,9500914,9500177
56,9500916,9500177
57,9501257,9500177
58,9501431,9500177
59,9521760,9500177
60,9521852,9500177
61,9521868,9500177
62,9521943,9500177
63,9521989,9500177
64,9522105,9500177
65,9522125,9500177
66,9522154,9500177
67,9522258,9500177
68,9535267,9500177
69,9535295,9500177
70,9535354,9500177
71,9535498,9500177
72,9535532,9500177
73,9535729,9500177
74,9535800,9500177
75,9535836,9500177
76,9535841,9500177
77,9556306,9500177
78,9556308,9500177
79,9556345,9500177
80,9556360,9500177
81,9556371,9500177
82,9556390,9500177
83,9556397,9500177
84,9556402,9500177
85,9556413,9500177
86,9556427,9500177
87,9556439,9500177
88,9556449,9500177
89,9556463,9500177
90,9556478,9500177
91,9556479,9500177
92,9556480,9500177
93,9556483,9500177
94,9556492,9500177
95,9556512,9500177
96,9556534,9500177
97,9556545,9500177
98,9556546,9500177
99,9556558,9500177
100,9556562,9500177
101,9556569,9500177
102,9556584,9500177
103,9556586,9500177
104,9556594,9500177
105,9556596,9500177
106,9556604,9500177
107,9556608,9500177
108,9556610,9500177
109,9556631,9500177
110,9556646,9500177
111,9556649,9500177
112,9556654,9500177
113,9556664,9500177
114,9556669,9500177
115,9556684,9500177
116,9556688,9500177
117,9556694,9500177
118,9556708,9500177
119,9556713,9500177
120,9556728,9500177
121,9556740,9500177
122,9556741,9500177
123,9556754,9500177
124,9556864,9500177
125,9556955,9500177
126,9557004,9500177
127,9557101,9500177
128,9557108,9500177
129,9562826,9500177
130,9562842,9500177
131,9562851,9500177
132,9562856,9500177
133,9562860,9500177
134,9562871,9500177
135,9562897,9500177
136,9562901,9500177
137,9562902,9500177
138,9562904,9500177
139,9562908,9500177
140,9562917,9500177
141,9562934,9500177
142,9562943,9500177
143,9562945,9500177
144,9562950,9500177
145,9562986,9500177
146,9563001,9500177
147,9563019,9500177
148,9563025,9500177
149,9563040,9500177
150,9563046,9500177
151,9563049,9500177
152,9563065,9500177
153,9563071,9500177
154,9563075,9500177
155,9563101,9500177
156,9563111,9500177
157,9563122,9500177
158,9563123,9500177
159,9563126,9500177
160,9563146,9500177
161,9563158,9500177
162,9563162,9500177
163,9563167,9500177
164,9563180,9500177
165,9563192,9500177
166,9563210,9500177
167,9563216,9500177
168,9563218,9500177
169,9563221,9500177
170,9563225,9500177
171,9563239,9500177
172,9563244,9500177
173,9563266,9500177
174,9563272,9500177
175,9563280,9500177
176,9563288,9500177
177,9563300,9500177
178,9563302,9500177
179,9563307,9500177
180,9563321,9500177
181,9563326,9500177
182,9563332,9500177
183,9563334,9500177
184,9563345,9500177
185,9563354,9500177
186,9500137,9500193
187,9500145,9500193
188,9500179,9500193
189,9500191,9500193
190,9500212,9500193
191,9500466,9500193
192,9500470,9500193
193,9500704,9500193
194,9500872,9500193
195,9500877,9500193
196,9500902,9500193
197,9500904,9500193
198,9500914,9500193
199,9500916,9500193
200,9500938,9500193
201,9501257,9500193
202,9501431,9500193
203,9521760,9500193
204,9521852,9500193
205,9521868,9500193
206,9521943,9500193
207,9521989,9500193
208,9522105,9500193
209,9522125,9500193
210,9522154,9500193
211,9522258,9500193
212,9535206,9500193
213,9535226,9500193
214,9535267,9500193
215,9535271,9500193
216,9535295,9500193
217,9535354,9500193
218,9535370,9500193
219,9535398,9500193
220,9535483,9500193
221,9535491,9500193
222,9535498,9500193
223,9535532,9500193
224,9535729,9500193
225,9535800,9500193
226,9535836,9500193
227,9535841,9500193
228,9556306,9500193
229,9556308,9500193
230,9556345,9500193
231,9556360,9500193
232,9556371,9500193
233,9556390,9500193
234,9556397,9500193
235,9556402,9500193
236,9556413,9500193
237,9556427,9500193
238,9556439,9500193
239,9556449,9500193
240,9556463,9500193
241,9556478,9500193
242,9556479,9500193
243,9556480,9500193
244,9556483,9500193
245,9556492,9500193
