NUTS3;Year;GDP;NUTS_ID;CNTR_CODE
Delfzijl en omgeving;2018;2464.02;NL112;NL
Oost-Groningen;2018;4247.68;NL114;NL
Overig Groningen;2018;18979.18;NL115;NL
Zuidoost-Friesland;2018;6424.12;NL126;NL
Noord-Friesland;2018;10544.24;NL127;NL
Zuidwest-Friesland;2018;4001.51;NL128;NL
Noord-Drenthe;2018;5919.46;NL131;NL
Zuidoost-Drenthe;2018;5099.24;NL132;NL
Zuidwest-Drenthe;2018;4779.2;NL133;NL
Noord-Overijssel;2018;15762.09;NL211;NL
Zuidwest-Overijssel;2018;5703.49;NL212;NL
Twente;2018;23193.3;NL213;NL
Veluwe;2018;27899.77;NL221;NL
Zuidwest-Gelderland;2018;9325.66;NL224;NL
Achterhoek;2018;12959.02;NL225;NL
Arnhem/Nijmegen;2018;29059.04;NL226;NL
Flevoland;2018;14019.82;NL230;NL
Flevoland;2018;14019.82;NL23;NL
Kop van Noord-Holland;2018;11376.77;NL321;NL
IJmond;2018;6843.74;NL323;NL
Zaanstreek;2018;5253.66;NL325;NL
Het Gooi en Vechtstreek;2018;10868.75;NL327;NL
Alkmaar en omgeving;2018;8074.63;NL328;NL
Agglomeratie Haarlem;2018;7258.89;NL32A;NL
Groot-Amsterdam;2018;121326.45;NL32B;NL
Zeeuwsch-Vlaanderen;2018;4333.85;NL341;NL
Overig Zeeland;2018;9678.14;NL342;NL
Utrecht;2018;73706.73;NL350;NL
Utrecht;2018;73706.73;NL35;NL
Agglomeratie â€™s-Gravenhage;2018;38843.49;NL361;NL
Delft en Westland;2018;11813.17;NL362;NL
Agglomeratie Leiden en Bollenstreek;2018;16155.97;NL363;NL
Zuidoost-Zuid-Holland;2018;15418.56;NL364;NL
Oost-Zuid-Holland;2018;11244.73;NL365;NL
Groot-Rijnmond;2018;69026;NL366;NL
West-Noord-Brabant;2018;28877.77;NL411;NL
Zuidoost-Noord-Brabant;2018;40893.48;NL414;NL
Midden-Noord-Brabant;2018;19014.99;NL415;NL
Noordoost-Noord-Brabant;2018;29681.2;NL416;NL
Noord-Limburg;2018;12064.95;NL421;NL
Midden-Limburg;2018;8565.87;NL422;NL
Zuid-Limburg;2018;24047.09;NL423;NL
Delfzijl en omgeving;2019;2358.55;NL112;NL
Oost-Groningen;2019;4423.13;NL114;NL
Overig Groningen;2019;19321.75;NL115;NL
Zuidoost-Friesland;2019;6926.43;NL126;NL
Noord-Friesland;2019;11054.46;NL127;NL
Zuidwest-Friesland;2019;4208.82;NL128;NL
Noord-Drenthe;2019;6175.78;NL131;NL
Zuidoost-Drenthe;2019;5214.18;NL132;NL
Zuidwest-Drenthe;2019;5106.46;NL133;NL
Noord-Overijssel;2019;16516.62;NL211;NL
Zuidwest-Overijssel;2019;5867.21;NL212;NL
Twente;2019;24625.69;NL213;NL
Veluwe;2019;30036.23;NL221;NL
Zuidwest-Gelderland;2019;9907.73;NL224;NL
Achterhoek;2019;13714.85;NL225;NL
Arnhem/Nijmegen;2019;30453.63;NL226;NL
Flevoland;2019;15121.91;NL230;NL
Flevoland;2019;15121.91;NL23;NL
Kop van Noord-Holland;2019;11938.64;NL321;NL
IJmond;2019;6884.92;NL323;NL
Zaanstreek;2019;5574.36;NL325;NL
Het Gooi en Vechtstreek;2019;11434.84;NL327;NL
Alkmaar en omgeving;2019;8607.27;NL328;NL
Agglomeratie Haarlem;2019;7753.38;NL32A;NL
Groot-Amsterdam;2019;129690.23;NL32B;NL
